Date : 2025-01-30 19:42:12
Directory : /Users/shane/Desktop/dev_stuff/have_your_say
Total : 61 files,  22478 codes, 259 comments, 669 blanks, all 23406 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JSON            |          3 |     19,461 |          0 |          3 |     19,464 |
| JavaScript      |         23 |      1,456 |        128 |        233 |      1,817 |
| Java            |         23 |      1,183 |         84 |        354 |      1,621 |
| Batch           |          1 |        108 |         26 |         16 |        150 |
| XML             |          2 |        106 |          0 |          7 |        113 |
| Markdown        |          2 |         52 |          0 |         42 |         94 |
| CSS             |          3 |         50 |          0 |          8 |         58 |
| HTML Nunjucks   |          1 |         42 |          0 |          4 |         46 |
| Java Properties |          3 |         20 |         21 |          2 |         43 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         61 |     22,478 |        259 |        669 |     23,406 |
| . (Files)                                                                                                                      |          3 |        227 |         26 |         32 |        285 |
| .mvn                                                                                                                           |          1 |          3 |         16 |          1 |         20 |
| .mvn/wrapper                                                                                                                   |          1 |          3 |         16 |          1 |         20 |
| frontend                                                                                                                       |         32 |     21,048 |        128 |        281 |     21,457 |
| frontend (Files)                                                                                                               |          3 |     19,474 |          0 |         35 |     19,509 |
| frontend/public                                                                                                                |          2 |         67 |          0 |          5 |         72 |
| frontend/src                                                                                                                   |         27 |      1,507 |        128 |        241 |      1,876 |
| frontend/src (Files)                                                                                                           |          6 |        104 |          0 |         20 |        124 |
| frontend/src/assets                                                                                                            |          1 |         57 |         54 |          4 |        115 |
| frontend/src/components                                                                                                        |          4 |        263 |          2 |         28 |        293 |
| frontend/src/pages                                                                                                             |         11 |        851 |         59 |        142 |      1,052 |
| frontend/src/pages (Files)                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| frontend/src/pages/ClosedPetitions                                                                                             |          1 |         36 |          0 |          7 |         43 |
| frontend/src/pages/CreatePetition                                                                                              |          1 |        128 |          7 |         24 |        159 |
| frontend/src/pages/CreateProposal                                                                                              |          1 |        114 |         37 |         26 |        177 |
| frontend/src/pages/Dashboard                                                                                                   |          1 |        218 |          2 |         18 |        238 |
| frontend/src/pages/Home                                                                                                        |          1 |         25 |          0 |          5 |         30 |
